"""siteid""","""sitename""","""aqi""","""pm2.5_avg""","""pm10_avg""","""so2_avg""","""datacreationdate"""
48,橋頭,73.04,24.38,49.38,1.0,2023-01-18
48,橋頭,102.5,36.0,64.83,1.0,2023-01-19
48,橋頭,97.79,34.21,70.96,1.0,2023-01-20
48,橋頭,80.5,27.46,58.38,1.0,2023-01-21
48,橋頭,95.46,33.25,63.42,1.0,2023-01-22
48,橋頭,61.5,19.83,37.96,1.0,2023-01-23
48,橋頭,76.92,15.54,72.29,0.75,2023-01-24
48,橋頭,64.62,21.04,51.33,0.58,2023-01-25
48,橋頭,58.58,18.75,41.04,1.0,2023-01-26
48,橋頭,77.12,24.33,61.75,1.0,2023-01-27
48,橋頭,75.46,25.54,59.42,1.0,2023-01-28
48,橋頭,82.21,28.17,57.46,1.0,2023-01-29
48,橋頭,95.92,33.5,62.67,1.0,2023-01-30
48,橋頭,85.46,29.5,61.0,1.0,2023-01-31
48,橋頭,69.42,22.83,49.67,1.71,2023-02-01
48,橋頭,102.96,36.29,75.79,1.04,2023-02-02
48,橋頭,96.5,33.83,77.08,1.0,2023-02-03
48,橋頭,94.67,33.17,73.25,1.0,2023-02-04
48,橋頭,117.12,41.83,72.58,1.0,2023-02-05
48,橋頭,86.33,29.83,51.75,1.0,2023-02-06
48,橋頭,95.5,33.29,62.08,1.0,2023-02-07
48,橋頭,121.67,43.5,79.46,1.0,2023-02-08
48,橋頭,123.29,44.25,78.58,1.0,2023-02-09
48,橋頭,91.33,31.67,61.71,1.0,2023-02-10
48,橋頭,88.21,30.62,57.83,1.08,2023-02-11
48,橋頭,85.04,29.42,58.0,1.29,2023-02-12
48,橋頭,28.83,7.88,25.67,1.62,2023-02-13
48,橋頭,64.04,20.88,44.71,1.0,2023-02-14
48,橋頭,65.92,21.46,52.88,1.0,2023-02-15
48,橋頭,69.5,22.96,53.0,1.0,2023-02-16
48,橋頭,78.62,26.67,64.0,1.0,2023-02-17
48,橋頭,119.75,42.54,75.79,1.0,2023-02-18
48,橋頭,96.04,33.54,65.71,1.0,2023-02-19
48,橋頭,123.29,43.88,86.21,1.0,2023-02-20
48,橋頭,77.38,24.96,72.0,1.62,2023-02-21
48,橋頭,60.62,18.83,51.79,1.17,2023-02-22
48,橋頭,83.71,28.79,56.17,0.54,2023-02-23
48,橋頭,92.75,32.33,63.58,1.0,2023-02-24
48,橋頭,71.04,23.58,55.17,1.0,2023-02-25
48,橋頭,67.17,21.33,54.62,1.0,2023-02-26
48,橋頭,59.79,19.17,51.83,1.0,2023-02-27
48,橋頭,86.75,29.92,64.5,1.0,2023-02-28
48,橋頭,99.54,34.96,62.79,1.0,2023-03-01
48,橋頭,106.33,37.46,80.17,1.0,2023-03-02
48,橋頭,86.79,29.71,75.71,1.67,2023-03-03
48,橋頭,88.0,30.42,65.25,1.0,2023-03-04
48,橋頭,111.96,37.88,70.83,1.0,2023-03-05
48,橋頭,88.21,28.08,61.67,1.0,2023-03-06
48,橋頭,74.88,23.58,54.38,1.0,2023-03-07
48,橋頭,72.38,23.0,54.79,1.92,2023-03-08
48,橋頭,97.54,33.96,69.75,2.25,2023-03-09
48,橋頭,127.58,42.42,72.96,1.92,2023-03-10
48,橋頭,86.04,28.58,53.96,1.42,2023-03-11
48,橋頭,69.46,22.21,42.96,1.0,2023-03-12
48,橋頭,69.54,22.75,58.33,1.0,2023-03-13
48,橋頭,68.75,21.46,53.83,1.0,2023-03-14
48,橋頭,78.83,26.62,63.12,1.0,2023-03-15
48,橋頭,90.88,31.29,60.71,1.33,2023-03-16
48,橋頭,93.0,32.29,66.5,1.33,2023-03-17
48,橋頭,78.12,26.58,54.62,1.0,2023-03-18
48,橋頭,80.21,27.33,56.96,1.0,2023-03-19
48,橋頭,72.96,24.42,58.08,1.0,2023-03-20
48,橋頭,59.54,19.12,45.0,1.0,2023-03-21
48,橋頭,56.62,18.54,38.42,1.0,2023-03-22
48,橋頭,47.92,14.92,34.83,1.0,2023-03-23
48,橋頭,77.75,26.38,44.29,1.0,2023-03-24
48,橋頭,97.06,33.88,70.65,1.0,2023-03-25
48,橋頭,55.92,17.62,36.54,0.62,2023-03-26
48,橋頭,81.38,27.79,53.04,0.71,2023-03-27
48,橋頭,88.62,30.79,56.12,1.0,2023-03-28
48,橋頭,93.92,32.75,56.21,1.0,2023-03-29
48,橋頭,80.33,27.42,49.92,1.0,2023-03-30
48,橋頭,90.54,31.42,54.54,1.0,2023-03-31
49,仁武,95.33,33.42,49.83,2.0,2023-01-01
49,仁武,77.04,26.08,39.17,0.79,2023-01-02
49,仁武,88.21,30.75,42.0,0.67,2023-01-03
49,仁武,64.42,20.88,30.5,1.29,2023-01-04
49,仁武,87.67,30.38,47.75,1.0,2023-01-05
49,仁武,91.58,31.96,51.0,0.96,2023-01-06
49,仁武,95.25,33.29,50.21,1.0,2023-01-07
49,仁武,123.38,44.42,70.04,1.88,2023-01-08
49,仁武,142.58,53.29,80.04,2.0,2023-01-09
49,仁武,132.17,47.83,74.12,1.71,2023-01-10
49,仁武,126.17,45.33,67.46,1.38,2023-01-11
49,仁武,125.17,44.88,70.75,1.0,2023-01-12
49,仁武,100.67,35.21,57.12,2.0,2023-01-13
49,仁武,32.75,10.12,23.25,2.21,2023-01-14
49,仁武,58.33,18.92,36.67,0.67,2023-01-15
49,仁武,51.08,16.21,37.21,1.0,2023-01-16
49,仁武,73.62,24.71,45.58,1.0,2023-01-17
49,仁武,79.21,26.88,50.33,1.0,2023-01-18
49,仁武,110.75,39.21,67.75,1.29,2023-01-19
49,仁武,109.88,38.79,72.83,1.75,2023-01-20
49,仁武,84.71,29.17,57.42,1.0,2023-01-21
49,仁武,100.92,35.42,62.21,1.0,2023-01-22
49,仁武,67.67,22.33,38.33,1.0,2023-01-23
49,仁武,70.17,17.21,61.46,1.0,2023-01-24
49,仁武,66.67,21.92,48.29,0.79,2023-01-25
49,仁武,63.21,20.54,39.21,1.58,2023-01-26
49,仁武,78.04,26.33,56.33,1.42,2023-01-27
49,仁武,77.75,26.29,56.79,1.0,2023-01-28
49,仁武,84.33,29.0,55.46,1.0,2023-01-29
49,仁武,102.54,36.17,65.25,1.62,2023-01-30
49,仁武,86.33,29.67,57.67,2.0,2023-01-31
49,仁武,72.79,24.42,53.62,2.0,2023-02-01
49,仁武,105.62,37.33,76.04,1.46,2023-02-02
49,仁武,103.71,36.58,81.83,1.0,2023-02-03
49,仁武,104.0,36.67,77.62,1.0,2023-02-04
49,仁武,124.0,44.25,74.67,1.0,2023-02-05
49,仁武,88.71,30.71,55.58,1.0,2023-02-06
49,仁武,91.08,31.75,61.92,1.0,2023-02-07
49,仁武,126.83,45.92,80.75,1.0,2023-02-08
49,仁武,128.38,46.08,79.29,1.04,2023-02-09
49,仁武,85.96,29.62,56.75,1.5,2023-02-10
49,仁武,89.21,31.0,58.83,1.0,2023-02-11
49,仁武,81.67,28.08,53.54,1.0,2023-02-12
49,仁武,32.12,8.88,29.62,1.54,2023-02-13
49,仁武,69.54,23.12,46.58,1.0,2023-02-14
49,仁武,71.42,23.75,51.21,1.0,2023-02-15
49,仁武,73.12,24.38,57.62,1.67,2023-02-16
49,仁武,78.08,26.5,63.62,2.0,2023-02-17
49,仁武,108.29,38.29,70.75,1.71,2023-02-18
49,仁武,93.21,32.33,63.54,1.42,2023-02-19
49,仁武,130.79,46.83,89.92,1.12,2023-02-20
49,仁武,79.54,25.96,74.75,2.0,2023-02-21
