"""siteid""","""sitename""","""aqi""","""pm2.5_avg""","""pm10_avg""","""so2_avg""","""datacreationdate"""
52,林園,101.96,35.92,77.25,2.0,2023-01-20
52,林園,87.08,29.92,68.33,2.0,2023-01-21
52,林園,85.75,29.38,61.46,2.0,2023-01-22
52,林園,58.5,18.67,43.08,2.25,2023-01-23
52,林園,62.54,15.29,57.29,1.21,2023-01-24
52,林園,61.67,20.0,53.08,1.67,2023-01-25
52,林園,53.96,16.75,41.75,2.38,2023-01-26
52,林園,67.08,21.79,52.33,2.38,2023-01-27
52,林園,76.54,25.88,62.58,2.0,2023-01-28
52,林園,79.54,27.0,58.88,2.58,2023-01-29
52,林園,94.12,32.08,66.42,2.25,2023-01-30
52,林園,74.46,23.38,53.38,1.5,2023-01-31
52,林園,59.88,19.08,51.42,1.88,2023-02-01
52,林園,89.21,30.88,72.96,3.25,2023-02-02
52,林園,116.21,41.33,102.29,2.54,2023-02-03
52,林園,101.58,35.67,87.33,1.96,2023-02-04
52,林園,106.92,37.67,77.5,1.96,2023-02-05
52,林園,86.25,29.71,63.46,3.04,2023-02-06
52,林園,76.96,25.96,55.21,1.96,2023-02-07
52,林園,101.38,35.67,77.5,1.21,2023-02-08
52,林園,90.08,31.33,71.25,1.83,2023-02-09
52,林園,77.33,26.08,59.12,1.33,2023-02-10
52,林園,81.71,27.83,62.33,1.58,2023-02-11
52,林園,63.17,20.5,51.83,1.42,2023-02-12
52,林園,32.96,8.38,30.5,0.75,2023-02-13
52,林園,69.67,23.5,59.33,1.0,2023-02-14
52,林園,79.25,26.92,65.17,1.71,2023-02-15
52,林園,71.96,23.46,62.75,1.92,2023-02-16
52,林園,72.46,23.96,69.33,1.08,2023-02-17
52,林園,90.96,27.71,66.04,1.0,2023-02-18
52,林園,73.58,23.42,61.54,1.21,2023-02-19
52,林園,131.75,47.17,100.88,1.38,2023-02-20
52,林園,83.5,26.46,82.58,1.54,2023-02-21
52,林園,68.46,20.71,66.83,2.29,2023-02-22
52,林園,78.12,26.58,65.46,1.71,2023-02-23
52,林園,92.25,32.0,74.5,1.0,2023-02-24
52,林園,69.38,22.92,56.25,1.33,2023-02-25
52,林園,73.25,24.33,61.0,2.0,2023-02-26
52,林園,65.0,19.92,55.25,2.33,2023-02-27
52,林園,80.54,27.5,67.75,2.04,2023-02-28
52,林園,82.0,27.67,70.88,2.0,2023-03-01
52,林園,99.0,33.83,69.79,2.0,2023-03-02
52,林園,85.88,28.08,81.12,1.92,2023-03-03
52,林園,80.12,26.0,62.38,1.0,2023-03-04
52,林園,119.58,35.33,70.71,1.71,2023-03-05
52,林園,88.17,24.12,53.67,2.0,2023-03-06
52,林園,75.79,21.96,55.21,1.25,2023-03-07
52,林園,63.38,18.21,49.62,1.0,2023-03-08
52,林園,81.79,26.92,62.17,1.5,2023-03-09
52,林園,122.25,40.21,76.67,2.0,2023-03-10
52,林園,90.79,28.12,57.88,1.46,2023-03-11
52,林園,75.71,23.71,53.0,1.08,2023-03-12
52,林園,65.46,21.08,60.46,1.88,2023-03-13
52,林園,73.71,20.17,58.88,1.33,2023-03-14
52,林園,68.92,20.71,55.54,1.0,2023-03-15
52,林園,81.21,25.54,56.42,1.5,2023-03-16
52,林園,81.33,27.75,65.83,2.0,2023-03-17
52,林園,68.21,22.5,55.25,2.0,2023-03-18
52,林園,78.67,26.42,61.5,1.88,2023-03-19
52,林園,61.83,19.88,51.12,1.5,2023-03-20
52,林園,53.96,16.29,37.08,1.0,2023-03-21
52,林園,39.12,12.04,29.88,0.58,2023-03-22
52,林園,30.08,8.92,24.88,0.33,2023-03-23
52,林園,73.33,23.67,53.42,1.0,2023-03-24
52,林園,85.82,29.53,60.35,1.71,2023-03-25
52,林園,56.33,17.67,45.29,2.08,2023-03-26
52,林園,73.62,24.54,49.54,2.0,2023-03-27
52,林園,88.0,29.75,70.79,2.0,2023-03-28
52,林園,82.75,28.33,62.96,2.0,2023-03-29
52,林園,75.96,25.62,55.17,2.0,2023-03-30
52,林園,76.42,24.79,53.67,1.83,2023-03-31
53,楠梓,82.46,28.21,51.0,1.88,2023-01-01
53,楠梓,67.42,22.29,41.08,0.75,2023-01-02
53,楠梓,78.42,26.71,46.04,0.08,2023-01-03
53,楠梓,53.0,16.92,36.17,1.04,2023-01-04
53,楠梓,77.92,26.46,55.42,1.71,2023-01-05
53,楠梓,77.17,26.17,57.08,1.0,2023-01-06
53,楠梓,81.12,27.75,59.5,1.33,2023-01-07
53,楠梓,117.71,42.0,78.04,1.88,2023-01-08
53,楠梓,131.79,48.25,91.04,1.08,2023-01-09
53,楠梓,118.38,42.25,81.29,1.42,2023-01-10
53,楠梓,110.96,39.33,72.92,1.0,2023-01-11
53,楠梓,114.29,40.75,80.17,1.0,2023-01-12
53,楠梓,86.08,28.88,60.96,1.46,2023-01-13
53,楠梓,37.12,7.5,33.92,2.62,2023-01-14
53,楠梓,50.08,14.92,41.04,1.0,2023-01-15
53,楠梓,41.42,12.71,36.88,1.5,2023-01-16
53,楠梓,61.29,19.83,44.96,1.67,2023-01-17
53,楠梓,66.67,21.92,46.42,0.67,2023-01-18
53,楠梓,95.88,33.67,67.12,1.0,2023-01-19
53,楠梓,95.08,33.38,69.12,1.0,2023-01-20
53,楠梓,74.79,24.75,55.25,1.0,2023-01-21
53,楠梓,89.29,31.0,59.54,1.0,2023-01-22
53,楠梓,55.88,17.75,35.58,1.62,2023-01-23
53,楠梓,69.83,14.42,63.54,1.0,2023-01-24
53,楠梓,59.62,18.96,47.54,1.0,2023-01-25
53,楠梓,56.88,18.12,37.5,1.0,2023-01-26
53,楠梓,72.71,23.29,55.88,1.0,2023-01-27
53,楠梓,71.5,23.83,56.96,0.96,2023-01-28
53,楠梓,80.54,27.54,55.12,1.0,2023-01-29
53,楠梓,86.25,29.71,58.54,1.0,2023-01-30
53,楠梓,77.96,26.29,54.12,1.0,2023-01-31
53,楠梓,63.88,20.62,50.96,1.0,2023-02-01
53,楠梓,90.75,31.54,69.88,1.0,2023-02-02
53,楠梓,97.17,34.25,79.83,1.92,2023-02-03
53,楠梓,94.67,33.21,72.17,1.58,2023-02-04
53,楠梓,122.67,43.92,70.5,1.0,2023-02-05
53,楠梓,86.62,29.96,49.17,1.0,2023-02-06
53,楠梓,90.83,31.67,56.42,1.58,2023-02-07
53,楠梓,122.62,43.88,79.96,2.0,2023-02-08
53,楠梓,129.62,46.58,78.92,2.0,2023-02-09
53,楠梓,88.12,30.33,56.75,2.0,2023-02-10
53,楠梓,91.62,31.79,56.83,2.12,2023-02-11
53,楠梓,81.33,27.33,53.5,2.08,2023-02-12
53,楠梓,33.42,8.71,29.71,1.88,2023-02-13
53,楠梓,62.71,20.46,47.5,1.0,2023-02-14
53,楠梓,61.92,19.88,50.54,1.08,2023-02-15
53,楠梓,66.96,21.88,55.33,2.0,2023-02-16
53,楠梓,71.38,23.79,62.29,1.5,2023-02-17
53,楠梓,101.96,35.5,70.75,1.0,2023-02-18
53,楠梓,91.5,31.79,62.08,1.25,2023-02-19
53,楠梓,121.88,42.96,92.08,2.0,2023-02-20
53,楠梓,82.83,24.96,79.71,2.0,2023-02-21
53,楠梓,60.35,18.3,52.91,2.0,2023-02-22
53,楠梓,81.67,27.92,57.29,1.12,2023-02-23
53,楠梓,93.54,32.54,63.88,1.0,2023-02-24
53,楠梓,66.96,21.92,50.25,1.0,2023-02-25
53,楠梓,62.67,19.79,50.29,1.0,2023-02-26
53,楠梓,55.92,17.46,47.33,1.0,2023-02-27
53,楠梓,84.46,29.12,61.54,1.0,2023-02-28
53,楠梓,88.71,30.54,58.67,1.0,2023-03-01
53,楠梓,103.21,35.92,81.67,2.0,2023-03-02
53,楠梓,81.79,26.88,76.42,2.0,2023-03-03
53,楠梓,83.33,27.92,62.29,1.08,2023-03-04
53,楠梓,102.04,33.33,65.12,1.0,2023-03-05
53,楠梓,81.42,25.79,62.08,1.21,2023-03-06
53,楠梓,78.96,24.88,56.08,1.42,2023-03-07
53,楠梓,62.17,17.33,46.83,1.08,2023-03-08
53,楠梓,80.67,23.38,60.54,2.0,2023-03-09
53,楠梓,117.58,37.71,75.17,2.0,2023-03-10
53,楠梓,82.04,25.46,50.62,1.54,2023-03-11
53,楠梓,66.71,20.58,41.83,1.0,2023-03-12
53,楠梓,62.62,19.54,60.04,1.0,2023-03-13
53,楠梓,65.62,19.21,58.67,1.71,2023-03-14
53,楠梓,70.21,21.62,58.0,1.62,2023-03-15
53,楠梓,82.67,28.33,60.25,1.0,2023-03-16
53,楠梓,85.08,29.04,65.67,1.54,2023-03-17
53,楠梓,70.21,23.29,49.46,2.0,2023-03-18
53,楠梓,76.46,25.75,54.62,1.42,2023-03-19
53,楠梓,70.12,23.33,58.42,1.0,2023-03-20
53,楠梓,55.04,17.29,43.04,1.25,2023-03-21
53,楠梓,48.46,14.46,38.08,0.5,2023-03-22
53,楠梓,40.17,12.04,28.75,0.0,2023-03-23
53,楠梓,75.08,25.25,44.92,0.46,2023-03-24
53,楠梓,94.12,32.71,71.65,1.0,2023-03-25
53,楠梓,55.88,17.58,33.88,1.0,2023-03-26
53,楠梓,78.33,26.46,51.17,1.33,2023-03-27
53,楠梓,86.25,29.38,59.17,1.29,2023-03-28
53,楠梓,92.71,32.29,59.62,1.25,2023-03-29
53,楠梓,75.38,25.46,48.92,1.21,2023-03-30
53,楠梓,81.58,27.92,54.58,1.67,2023-03-31
54,左營,89.71,31.08,56.33,1.54,2023-01-01
54,左營,75.58,25.54,45.88,1.0,2023-01-02
54,左營,82.67,28.29,48.17,1.0,2023-01-03
54,左營,59.17,18.96,35.29,1.0,2023-01-04
54,左營,80.96,27.75,52.83,1.46,2023-01-05
54,左營,87.42,30.29,58.12,1.25,2023-01-06
54,左營,88.71,30.71,55.33,0.79,2023-01-07
54,左營,121.54,44.08,76.25,1.79,2023-01-08
54,左營,137.92,51.88,90.33,1.75,2023-01-09
54,左營,124.09,44.59,81.82,1.0,2023-01-10
54,左營,107.86,38.14,72.43,0.14,2023-01-11
54,左營,112.17,39.75,76.21,1.0,2023-01-12
54,左營,99.67,34.83,64.12,1.54,2023-01-13
54,左營,32.33,9.88,21.46,1.62,2023-01-14
54,左營,56.67,18.33,36.96,0.42,2023-01-15
54,左營,50.83,16.08,39.79,1.0,2023-01-16
54,左營,69.67,23.17,42.29,1.46,2023-01-17
54,左營,80.96,27.71,51.17,1.08,2023-01-18
54,左營,107.46,38.04,69.25,1.46,2023-01-19
54,左營,103.58,36.46,72.67,1.96,2023-01-20
54,左營,83.17,27.88,56.25,1.38,2023-01-21
54,左營,101.96,35.88,63.83,1.0,2023-01-22
54,左營,63.04,20.46,38.29,1.0,2023-01-23
54,左營,74.92,16.46,68.25,0.58,2023-01-24
54,左營,64.12,20.88,50.88,0.67,2023-01-25
54,左營,61.33,19.71,41.79,1.0,2023-01-26
54,左營,78.04,23.92,63.92,1.0,2023-01-27
54,左營,71.08,23.83,58.0,1.0,2023-01-28
54,左營,81.25,27.79,56.42,1.0,2023-01-29
54,左營,96.92,33.42,63.29,1.25,2023-01-30
54,左營,85.92,28.17,59.62,1.79,2023-01-31
54,左營,70.71,23.0,54.33,1.0,2023-02-01
54,左營,99.83,35.0,73.75,1.0,2023-02-02
54,左營,95.12,33.21,78.67,1.0,2023-02-03
54,左營,92.58,32.33,71.96,1.42,2023-02-04
54,左營,114.71,40.88,74.08,1.12,2023-02-05
54,左營,85.79,29.58,57.5,0.75,2023-02-06
54,左營,85.58,29.38,57.33,1.0,2023-02-07
54,左營,110.12,39.0,78.67,1.0,2023-02-08
54,左營,117.67,41.92,76.12,1.08,2023-02-09
54,左營,83.46,28.62,57.42,1.42,2023-02-10
54,左營,89.88,30.38,61.0,1.0,2023-02-11
54,左營,77.12,26.33,55.0,1.12,2023-02-12
54,左營,32.67,8.33,27.75,2.0,2023-02-13
54,左營,62.54,20.58,46.38,1.0,2023-02-14
54,左營,66.33,21.75,55.67,1.0,2023-02-15
54,左營,66.71,21.54,52.83,1.0,2023-02-16
54,左營,75.12,25.04,67.62,1.0,2023-02-17
54,左營,104.58,36.62,67.79,1.0,2023-02-18
54,左營,78.75,26.71,59.42,1.25,2023-02-19
54,左營,124.38,43.92,89.67,1.25,2023-02-20
54,左營,79.17,24.83,76.42,1.75,2023-02-21
54,左營,55.17,17.12,49.46,1.67,2023-02-22
54,左營,74.54,25.08,52.38,0.75,2023-02-23
54,左營,88.71,30.75,57.75,0.25,2023-02-24
54,左營,69.54,22.79,52.38,1.0,2023-02-25
54,左營,65.67,20.83,53.29,1.0,2023-02-26
54,左營,56.75,17.54,47.38,1.25,2023-02-27
54,左營,76.58,25.88,58.12,1.08,2023-02-28
54,左營,97.79,34.21,64.12,1.0,2023-03-01
54,左營,110.0,39.04,81.58,1.21,2023-03-02
54,左營,81.88,26.67,73.42,1.88,2023-03-03
54,左營,88.04,29.88,66.04,2.0,2023-03-04
54,左營,111.46,36.21,71.42,1.96,2023-03-05
54,左營,89.25,27.71,62.38,1.62,2023-03-06
54,左營,71.17,19.21,47.92,1.42,2023-03-07
54,左營,67.83,17.08,43.29,1.0,2023-03-08
54,左營,87.33,24.38,54.5,1.0,2023-03-09
54,左營,119.04,36.08,67.54,1.54,2023-03-10
54,左營,82.54,23.79,48.79,1.5,2023-03-11
54,左營,70.62,20.08,46.33,1.0,2023-03-12
54,左營,65.5,21.25,59.0,1.0,2023-03-13
54,左營,73.96,21.33,55.88,1.42,2023-03-14
54,左營,70.83,21.54,50.04,1.0,2023-03-15
54,左營,82.21,25.92,56.92,1.0,2023-03-16
54,左營,86.58,29.67,66.71,1.0,2023-03-17
54,左營,64.29,20.88,47.58,1.0,2023-03-18
54,左營,76.67,25.46,56.12,1.0,2023-03-19
54,左營,72.42,23.29,57.58,1.0,2023-03-20
54,左營,51.62,16.08,38.5,1.0,2023-03-21
54,左營,30.71,9.17,23.17,0.04,2023-03-22
54,左營,26.71,7.88,19.08,0.0,2023-03-23
54,左營,69.83,23.33,40.54,0.96,2023-03-24
54,左營,89.59,30.65,71.06,1.0,2023-03-25
54,左營,51.08,15.96,35.71,1.0,2023-03-26
54,左營,80.06,27.29,46.41,1.0,2023-03-27
54,左營,75.0,25.33,50.83,1.0,2023-03-28
54,左營,100.42,35.29,55.33,1.0,2023-03-29
54,左營,88.83,30.75,49.62,1.0,2023-03-30
54,左營,96.67,33.71,54.62,1.62,2023-03-31
56,前金,101.5,35.75,57.29,0.92,2023-01-01
56,前金,83.5,28.67,46.75,1.0,2023-01-02
56,前金,94.08,32.83,48.04,1.0,2023-01-03
56,前金,63.83,20.71,34.92,0.88,2023-01-04
56,前金,87.38,30.21,52.71,0.88,2023-01-05
56,前金,97.25,34.04,59.17,0.54,2023-01-06
56,前金,87.5,30.46,50.5,0.67,2023-01-07
56,前金,125.25,45.88,78.62,1.71,2023-01-08
56,前金,137.38,51.33,84.42,1.12,2023-01-09
56,前金,128.08,47.0,81.33,1.75,2023-01-10
56,前金,120.58,43.04,71.88,1.29,2023-01-11
56,前金,114.88,40.88,72.96,1.0,2023-01-12
56,前金,95.25,33.21,59.71,1.79,2023-01-13
56,前金,34.08,9.21,22.25,1.0,2023-01-14
56,前金,53.96,17.33,36.25,0.17,2023-01-15
56,前金,51.71,16.17,38.04,0.42,2023-01-16
56,前金,71.46,23.75,41.42,1.0,2023-01-17
56,前金,78.5,26.62,47.92,0.83,2023-01-18
56,前金,107.04,37.92,65.12,1.0,2023-01-19
56,前金,107.0,38.0,68.12,1.25,2023-01-20
56,前金,86.67,29.46,54.88,2.0,2023-01-21
56,前金,107.17,37.83,59.75,1.0,2023-01-22
56,前金,67.21,22.17,37.08,1.0,2023-01-23
56,前金,70.71,17.67,61.33,0.71,2023-01-24
56,前金,69.75,23.12,49.17,0.79,2023-01-25
56,前金,65.29,21.33,39.79,1.0,2023-01-26
56,前金,78.25,26.0,57.5,1.0,2023-01-27
56,前金,75.54,25.42,55.12,1.0,2023-01-28
56,前金,84.0,28.88,54.46,1.0,2023-01-29
56,前金,98.42,34.08,60.58,1.0,2023-01-30
56,前金,79.5,26.96,53.29,1.0,2023-01-31
56,前金,64.04,20.83,44.0,1.0,2023-02-01
56,前金,99.08,34.62,68.75,1.0,2023-02-02
56,前金,102.29,36.08,80.17,1.0,2023-02-03
56,前金,103.0,36.25,75.08,1.0,2023-02-04
56,前金,120.5,43.17,72.83,0.71,2023-02-05
56,前金,95.0,33.21,54.62,1.0,2023-02-06
56,前金,92.88,32.38,56.96,1.0,2023-02-07
56,前金,118.08,42.29,74.75,1.0,2023-02-08
56,前金,117.46,41.83,69.04,0.88,2023-02-09
56,前金,71.38,23.75,47.12,0.5,2023-02-10
56,前金,79.83,27.29,51.62,1.0,2023-02-11
56,前金,79.54,27.29,53.42,1.0,2023-02-12
56,前金,31.04,8.42,21.62,1.33,2023-02-13
56,前金,64.88,21.46,43.42,1.0,2023-02-14
56,前金,71.41,23.76,45.94,1.0,2023-02-15
56,前金,63.0,19.8,51.2,2.0,2023-02-16
56,前金,80.5,27.58,62.75,1.79,2023-02-17
56,前金,98.12,32.54,61.58,0.17,2023-02-18
56,前金,84.21,28.83,56.46,0.29,2023-02-19
56,前金,132.21,47.12,87.54,0.79,2023-02-20
56,前金,82.67,27.58,72.79,1.25,2023-02-21
56,前金,57.92,18.5,44.88,1.25,2023-02-22
56,前金,81.75,27.88,51.08,0.42,2023-02-23
56,前金,95.29,33.17,55.96,0.0,2023-02-24
56,前金,75.75,25.62,54.88,0.62,2023-02-25
56,前金,70.29,23.12,54.33,1.0,2023-02-26
56,前金,62.88,20.04,46.38,1.0,2023-02-27
56,前金,85.04,29.33,56.71,0.62,2023-02-28
56,前金,103.33,36.29,61.5,0.42,2023-03-01
56,前金,113.62,40.42,77.25,1.0,2023-03-02
56,前金,88.71,29.33,69.92,1.0,2023-03-03
56,前金,82.42,27.62,58.38,1.0,2023-03-04
56,前金,117.92,38.67,72.29,1.54,2023-03-05
56,前金,90.38,27.67,55.58,1.46,2023-03-06
56,前金,74.08,20.71,44.17,1.0,2023-03-07
56,前金,71.04,18.88,37.92,1.0,2023-03-08
56,前金,85.58,24.21,47.0,1.0,2023-03-09
56,前金,124.04,37.79,64.42,1.0,2023-03-10
56,前金,83.46,23.79,45.17,1.0,2023-03-11
56,前金,67.54,18.83,36.12,1.0,2023-03-12
56,前金,71.0,23.75,58.29,1.0,2023-03-13
56,前金,74.21,22.17,52.25,1.0,2023-03-14
56,前金,73.25,22.12,46.79,1.0,2023-03-15
56,前金,85.54,27.12,53.58,1.0,2023-03-16
56,前金,90.04,31.17,65.88,1.0,2023-03-17
56,前金,68.67,22.54,45.62,1.0,2023-03-18
56,前金,84.83,28.96,57.38,1.0,2023-03-19
56,前金,75.79,25.0,54.54,1.0,2023-03-20
56,前金,56.5,17.92,38.46,1.0,2023-03-21
56,前金,37.92,11.67,21.75,0.46,2023-03-22
56,前金,32.62,10.04,15.04,0.0,2023-03-23
56,前金,74.04,24.83,36.46,0.62,2023-03-24
56,前金,91.06,31.59,61.88,1.0,2023-03-25
56,前金,55.0,17.17,33.5,0.71,2023-03-26
56,前金,78.46,26.67,47.5,1.0,2023-03-27
56,前金,86.62,29.21,56.79,1.0,2023-03-28
56,前金,92.75,32.25,54.12,1.0,2023-03-29
56,前金,77.88,25.83,45.75,1.0,2023-03-30
56,前金,83.42,28.54,48.38,1.0,2023-03-31
57,前鎮,103.42,36.5,64.54,2.0,2023-01-01
57,前鎮,91.62,31.71,47.12,1.42,2023-01-02
57,前鎮,97.25,34.08,52.38,1.0,2023-01-03
57,前鎮,67.25,22.17,40.38,1.0,2023-01-04
57,前鎮,95.5,33.38,60.54,1.0,2023-01-05
57,前鎮,102.54,36.25,64.71,1.0,2023-01-06
57,前鎮,90.33,31.42,62.83,1.75,2023-01-07
57,前鎮,113.96,40.5,80.46,3.0,2023-01-08
57,前鎮,130.62,47.33,89.5,2.08,2023-01-09
57,前鎮,124.79,45.08,90.62,1.17,2023-01-10
57,前鎮,113.96,40.5,79.54,1.5,2023-01-11
57,前鎮,111.38,39.42,80.0,2.0,2023-01-12
57,前鎮,97.04,33.92,69.83,2.0,2023-01-13
57,前鎮,31.38,8.58,26.75,1.5,2023-01-14
57,前鎮,52.71,16.46,43.0,0.54,2023-01-15
57,前鎮,49.46,15.42,46.08,1.12,2023-01-16
57,前鎮,67.29,22.08,48.75,1.71,2023-01-17
57,前鎮,77.12,25.96,53.67,1.12,2023-01-18
57,前鎮,101.29,35.58,70.92,1.62,2023-01-19
57,前鎮,102.54,36.17,76.21,2.0,2023-01-20
57,前鎮,82.08,28.25,61.42,2.0,2023-01-21
57,前鎮,99.83,35.08,62.08,2.0,2023-01-22
57,前鎮,64.21,21.0,39.83,1.42,2023-01-23
57,前鎮,73.46,16.42,66.83,1.0,2023-01-24
57,前鎮,61.71,19.79,54.21,1.25,2023-01-25
57,前鎮,58.0,18.46,42.83,1.54,2023-01-26
57,前鎮,71.83,22.54,58.42,1.0,2023-01-27
57,前鎮,71.29,23.71,61.46,1.0,2023-01-28
57,前鎮,79.46,27.0,59.33,1.0,2023-01-29
57,前鎮,93.79,32.67,67.08,1.79,2023-01-30
57,前鎮,77.04,25.71,58.92,1.96,2023-01-31
57,前鎮,62.46,20.08,52.29,1.12,2023-02-01
57,前鎮,98.62,34.58,74.29,1.62,2023-02-02
57,前鎮,108.62,38.33,91.29,1.0,2023-02-03
57,前鎮,109.21,38.79,83.12,0.33,2023-02-04
57,前鎮,125.21,45.04,73.83,1.25,2023-02-05
57,前鎮,98.67,34.62,62.96,2.0,2023-02-06
57,前鎮,89.38,30.96,62.04,2.08,2023-02-07
57,前鎮,123.38,44.79,83.88,3.17,2023-02-08
57,前鎮,116.38,41.42,70.17,2.25,2023-02-09
57,前鎮,73.12,24.54,49.79,2.58,2023-02-10
57,前鎮,84.67,29.0,53.5,3.0,2023-02-11
57,前鎮,72.92,24.21,52.04,2.67,2023-02-12
57,前鎮,29.92,8.08,26.67,1.67,2023-02-13
57,前鎮,67.17,22.42,49.92,1.0,2023-02-14
57,前鎮,70.5,23.12,56.58,1.08,2023-02-15
57,前鎮,69.62,22.83,59.17,2.0,2023-02-16
57,前鎮,76.04,25.17,70.08,2.0,2023-02-17
57,前鎮,91.79,31.92,69.58,2.0,2023-02-18
57,前鎮,84.0,28.67,58.0,2.0,2023-02-19
57,前鎮,127.92,45.38,94.12,2.0,2023-02-20
57,前鎮,82.21,25.62,80.04,2.0,2023-02-21
57,前鎮,58.88,17.96,54.79,1.54,2023-02-22
57,前鎮,83.42,28.5,60.67,1.0,2023-02-23
57,前鎮,99.54,34.88,66.12,0.67,2023-02-24
57,前鎮,72.79,24.29,56.0,0.71,2023-02-25
57,前鎮,68.96,22.04,57.42,1.0,2023-02-26
57,前鎮,58.17,18.38,50.62,1.29,2023-02-27
57,前鎮,78.46,26.62,62.83,1.12,2023-02-28
57,前鎮,93.88,31.0,71.46,1.0,2023-03-01
57,前鎮,108.29,38.17,86.75,1.54,2023-03-02
57,前鎮,84.21,28.12,78.79,1.92,2023-03-03
57,前鎮,78.38,25.88,66.25,1.0,2023-03-04
57,前鎮,107.21,36.38,76.62,1.62,2023-03-05
57,前鎮,79.62,25.67,56.67,1.46,2023-03-06
57,前鎮,63.08,19.0,46.08,1.0,2023-03-07
57,前鎮,59.71,16.67,40.75,1.0,2023-03-08
57,前鎮,71.75,23.29,52.04,1.12,2023-03-09
57,前鎮,112.67,36.62,68.46,1.62,2023-03-10
57,前鎮,75.75,24.12,47.54,1.54,2023-03-11
57,前鎮,66.75,21.04,42.58,1.0,2023-03-12
57,前鎮,68.92,22.83,62.75,1.0,2023-03-13
57,前鎮,72.88,23.79,57.92,1.88,2023-03-14
57,前鎮,69.62,21.71,53.08,1.0,2023-03-15
57,前鎮,80.29,26.79,55.42,1.38,2023-03-16
57,前鎮,94.75,32.96,66.83,2.0,2023-03-17
57,前鎮,63.83,20.67,45.42,1.42,2023-03-18
57,前鎮,81.14,27.76,61.24,1.38,2023-03-19
57,前鎮,74.88,25.25,56.38,1.83,2023-03-20
57,前鎮,60.33,19.33,43.17,1.92,2023-03-21
57,前鎮,38.29,11.79,25.71,1.08,2023-03-22
57,前鎮,33.46,10.17,22.04,0.17,2023-03-23
57,前鎮,74.75,25.25,40.71,1.0,2023-03-24
57,前鎮,92.06,32.06,60.65,1.24,2023-03-25
57,前鎮,54.67,17.21,37.0,0.92,2023-03-26
57,前鎮,74.83,25.17,47.08,0.79,2023-03-27
57,前鎮,93.25,32.29,64.12,1.0,2023-03-28
57,前鎮,95.38,33.33,58.17,1.0,2023-03-29
57,前鎮,78.88,26.75,49.04,1.0,2023-03-30
57,前鎮,86.62,29.88,54.29,1.58,2023-03-31
58,小港,104.17,36.83,59.92,2.0,2023-01-01
58,小港,84.12,28.79,40.5,1.0,2023-01-02
58,小港,97.5,34.33,48.04,0.0,2023-01-03
58,小港,69.92,23.21,40.42,0.79,2023-01-04
58,小港,98.88,34.79,61.17,1.33,2023-01-05
58,小港,104.54,36.88,64.67,1.38,2023-01-06
58,小港,96.5,33.79,55.96,1.54,2023-01-07
58,小港,113.67,40.29,68.38,2.0,2023-01-08
58,小港,132.08,47.58,79.42,2.0,2023-01-09
58,小港,131.58,48.58,79.12,1.5,2023-01-10
58,小港,129.08,46.38,69.75,1.0,2023-01-11
58,小港,119.75,42.83,68.42,1.38,2023-01-12
58,小港,96.5,33.62,57.0,1.58,2023-01-13
58,小港,40.92,12.67,23.71,1.33,2023-01-14
58,小港,61.33,20.21,37.29,0.38,2023-01-15
58,小港,58.46,18.54,41.04,1.0,2023-01-16
58,小港,75.04,25.21,46.67,1.25,2023-01-17
58,小港,83.12,28.58,47.17,1.0,2023-01-18
58,小港,109.54,38.96,67.08,1.58,2023-01-19
58,小港,110.71,39.29,71.71,1.5,2023-01-20
58,小港,90.58,31.54,59.83,1.21,2023-01-21
58,小港,98.79,34.62,57.0,1.21,2023-01-22
58,小港,69.0,22.79,35.79,1.0,2023-01-23
58,小港,69.33,18.46,57.71,0.58,2023-01-24
58,小港,70.71,23.5,48.54,0.5,2023-01-25
58,小港,64.33,20.92,37.46,1.0,2023-01-26
58,小港,73.29,24.46,51.08,1.0,2023-01-27
58,小港,79.83,27.21,57.38,1.0,2023-01-28
58,小港,85.54,29.67,54.75,1.38,2023-01-29
58,小港,108.21,38.29,65.25,2.5,2023-01-30
58,小港,79.79,27.21,50.04,2.08,2023-01-31
58,小港,70.38,23.33,43.21,1.42,2023-02-01
58,小港,94.5,33.08,62.0,1.54,2023-02-02
58,小港,114.17,40.67,86.38,1.62,2023-02-03
58,小港,115.33,40.92,77.5,1.21,2023-02-04
58,小港,128.79,46.25,68.08,1.75,2023-02-05
58,小港,98.79,34.62,56.04,1.33,2023-02-06
58,小港,91.33,31.75,55.67,1.29,2023-02-07
58,小港,125.96,45.88,72.79,1.88,2023-02-08
58,小港,118.12,42.04,66.5,1.42,2023-02-09
58,小港,84.62,28.92,49.21,1.17,2023-02-10
58,小港,88.83,30.71,51.38,2.0,2023-02-11
58,小港,67.75,22.75,43.08,2.38,2023-02-12
58,小港,33.83,10.38,24.12,1.38,2023-02-13
58,小港,71.88,24.12,46.12,0.0,2023-02-14
58,小港,74.83,25.12,52.5,0.88,2023-02-15
58,小港,74.29,24.88,56.08,1.83,2023-02-16
58,小港,79.0,26.92,64.75,1.38,2023-02-17
58,小港,91.42,31.88,60.54,1.5,2023-02-18
58,小港,84.79,29.21,51.58,1.33,2023-02-19
58,小港,134.71,48.83,89.29,1.08,2023-02-20
58,小港,84.62,28.71,76.46,1.75,2023-02-21
58,小港,63.71,20.62,50.58,1.33,2023-02-22
58,小港,85.38,29.54,52.67,1.0,2023-02-23
